"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
2 "87/86 Avg exp corr"    0.7102545   0.0033    0.7102545   0.0033  10  10
2 "87/86 S 1-2 exp corr"    0.7102488   0.0045    0.7102488   0.0045  10  10
2 "87/86 S 2-3 exp corr"    0.7102603   0.0033    0.7102603   0.0033  10  10
2 "84/86 Dyn exp corr"    0.0564577   0.0469    0.0564577   0.0469  10  10
2 "Stat 87/86 S-1 exp"    0.7099588   0.0047    0.7099588   0.0047  10  10
2 "Stat 87/86 S-2 exp"    0.7107444   0.0055    0.7107444   0.0055  10  10
2 "Stat 87/86 S-3 exp"    0.7100418   0.0042    0.7100418   0.0042  10  10
2 "Stat 84/86 exp corr"    0.0564152   0.0480    0.0564152   0.0480  10  10
2 "Dyn 84/86 power law"    0.0565040   0.0457    0.0565040   0.0457  10  10
2 "Dyn 84/88 power law"    0.0067415   0.0469    0.0067415   0.0469  10  10
2 "87Rb ppm L2-S2"  162.8555796  13.2425  162.8555796  13.2425  10  10
2 "88Sr volts S-3"    2.9837737   0.4094    2.9746482   0.3052   9  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.205810111E-001  7.102721759E-001  7.102192310E-001  7.103251208E-001  5.646495412E-002  7.100323489E-001  7.107664983E-001  7.101449651E-001  5.642316449E-002  5.653610222E-002  6.745414637E-003  7.080268904E+001  2.963803293E+000
1.206320230E-001  7.102575064E-001  7.102984118E-001  7.102166010E-001  5.635528897E-002  7.100443175E-001  7.107095297E-001  7.100548594E-001  5.630240441E-002  5.639404256E-002  6.727129923E-003  8.621499075E+001  2.960953952E+000
1.206124175E-001  7.102697475E-001  7.102741522E-001  7.102653428E-001  5.653620825E-002  7.100158090E-001  7.107356659E-001  7.099101567E-001  5.651778818E-002  5.658233717E-002  6.753729909E-003  2.386672346E+002  2.955046417E+000
1.206120615E-001  7.102159157E-001  7.101337147E-001  7.102981168E-001  5.637726191E-002  7.098752862E-001  7.106294538E-001  7.102079331E-001  5.633872982E-002  5.642877199E-002  6.732990440E-003  1.041633092E+002  2.980680229E+000
1.206312277E-001  7.103408835E-001  7.103190001E-001  7.103627668E-001  5.648109404E-002  7.098983917E-001  7.108630891E-001  7.100737593E-001  5.644729505E-002  5.651447462E-002  6.743790285E-003  1.376418921E+002  2.986784221E+000
1.206248851E-001  7.101754610E-001  7.101757893E-001  7.101751326E-001  5.658450946E-002  7.099098374E-001  7.106530673E-001  7.100215865E-001  5.653249497E-002  5.663213775E-002  6.755661489E-003  1.435133131E+002  2.928366901E+000
1.206172826E-001  7.101125475E-001  7.100561032E-001  7.101689917E-001  5.649236712E-002  7.097654040E-001  7.105658338E-001  7.100679581E-001  5.644500324E-002  5.654108223E-002  6.745345094E-003  1.983691462E+002  2.973712446E+000
1.205874488E-001  7.103286157E-001  7.103202057E-001  7.103370257E-001  5.637955962E-002  7.099086728E-001  7.109296147E-001  7.100526602E-001  5.633034786E-002  5.642440278E-002  6.731193135E-003  1.788073173E+002  3.000318290E+000
1.205515108E-001  7.103341899E-001  7.103832715E-001  7.102851082E-001  5.636311896E-002  7.101336009E-001  7.109138067E-001  7.099007834E-001  5.632412915E-002  5.642096869E-002  6.732003501E-003  2.868114119E+002  3.022168399E+000
1.205933634E-001  7.102384195E-001  7.103079569E-001  7.101688820E-001  5.654232285E-002  7.100042460E-001  7.106778373E-001  7.099829462E-001  5.649057076E-002  5.656608029E-002  6.747808190E-003  1.835644920E+002  3.065902473E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1206516   0.0102    0.1206516   0.0102  20  20
"" "87/86 Avg exp corr"    0.7102554   0.0029    0.7102554   0.0029  20  20
"" "87/86 S 1-2 exp corr"    0.7102656   0.0031    0.7102655   0.0025  18  20
"" "87/86 S 2-3 exp corr"    0.7102453   0.0036    0.7102589   0.0032  19  20
"" "84/86 Dyn exp corr"    0.0566611   0.0998    0.0566611   0.0998  20  20
"" "Stat 87/86 S-1 exp"    0.7100039   0.0040    0.7099846   0.0031  19  20
"" "Stat 87/86 S-2 exp"    0.7107245   0.0041    0.7107416   0.0035  19  20
"" "Stat 87/86 S-3 exp"    0.7111936   0.0437    0.7111936   0.0437  20  20
"" "Stat 84/86 exp corr"    0.0564320   0.0304    0.0564320   0.0304  20  20
"" "Dyn 84/86 power law"    0.0567068   0.0987    0.0567068   0.0987  20  20
"" "Dyn 84/88 power law"    0.0067434   0.0301    0.0067434   0.0301  20  20
"" "87Rb ppm L2-S2"  192.6923874  12.1410  179.1659673  11.2301  19  20
"" "88Sr volts S-3"    2.8560044   1.1483    2.8560044   1.1483  20  20

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 4.048347E-004 1.738071E-004 3.380775E-004 -4.684925E-004 -2.987385E-004 4.241467E-004 -3.641605E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
3 "86/88 Scan 2"    0.1206120   0.0118    0.1206120   0.0118  10  10
3 "87/86 Avg exp corr"    0.7102552   0.0027    0.7102552   0.0027  10  10
3 "87/86 S 1-2 exp corr"    0.7102277   0.0037    0.7102277   0.0037  10  10
3 "87/86 S 2-3 exp corr"    0.7102828   0.0037    0.7103023   0.0027   9  10
3 "84/86 Dyn exp corr"    0.0564921   0.0300    0.0565064   0.0180   9  10
3 "Stat 87/86 S-1 exp"    0.7099732   0.0056    0.7099435   0.0042   9  10
3 "Stat 87/86 S-2 exp"    0.7107043   0.0041    0.7107043   0.0041  10  10
3 "Stat 87/86 S-3 exp"    0.7100711   0.0057    0.7100711   0.0057  10  10
3 "Stat 84/86 exp corr"    0.0564585   0.0315    0.0564741   0.0171   9  10
3 "Dyn 84/86 power law"    0.0565413   0.0272    0.0565546   0.0151   9  10
3 "Dyn 84/88 power law"    0.0067470   0.0291    0.0067488   0.0148   9  10
3 "87Rb ppm L2-S2"   94.3415801  19.5070   94.3415801  19.5070  10  10
3 "88Sr volts S-3"    3.4578641   0.7438    3.4578641   0.7438  10  10

"Individual Ratios for this Block:"
