"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    7 January 1980"
"Time:                   17:22:19"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0D1.DAT"
"Level: Cycle Data"
"Data Starts Here"
2 "87/86 Avg exp corr"    0.7102883   0.0024    0.7102883   0.0024  10  10
2 "87/86 S 1-2 exp corr"    0.7102893   0.0032    0.7102893   0.0032  10  10
2 "87/86 S 2-3 exp corr"    0.7102873   0.0032    0.7102873   0.0032  10  10
2 "84/86 Dyn exp corr"    0.0564588   0.0292    0.0564588   0.0292  10  10
2 "Stat 87/86 S-1 exp"    0.7100827   0.0062    0.7100827   0.0062  10  10
2 "Stat 87/86 S-2 exp"    0.7106604   0.0036    0.7106604   0.0036  10  10
2 "Stat 87/86 S-3 exp"    0.7100631   0.0057    0.7100631   0.0057  10  10
2 "Stat 84/86 exp corr"    0.0564350   0.0293    0.0564350   0.0293  10  10
2 "Dyn 84/86 power law"    0.0564968   0.0260    0.0564968   0.0260  10  10
2 "Dyn 84/88 power law"    0.0067429   0.0264    0.0067429   0.0264  10  10
2 "87Rb ppm L2-S2"    8.2898525 114.7014    8.2898525 114.7014  10  10
2 "88Sr volts S-3"    2.8793522   0.0645    2.8793522   0.0645  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.204586116E-001  7.103176610E-001  7.103326779E-001  7.103026442E-001  5.651553268E-002  7.100456029E-001  7.107668639E-001  7.099410216E-001  5.649912951E-002  5.655089566E-002  6.750217178E-003  8.977175363E+000  2.867628814E+000
1.204493305E-001  7.102251915E-001  7.101961254E-001  7.102542575E-001  5.648109002E-002  7.099037158E-001  7.106511704E-001  7.100455971E-001  5.645096332E-002  5.651884255E-002  6.744750269E-003  3.361683515E+001  2.876026870E+000
1.204311278E-001  7.102907192E-001  7.102021781E-001  7.103792602E-001  5.637808626E-002  7.099712665E-001  7.106823794E-001  7.102348973E-001  5.635272329E-002  5.642956066E-002  6.734658440E-003 -8.576275179E+000  2.879648925E+000
1.204574293E-001  7.101922296E-001  7.102198920E-001  7.101645672E-001  5.649403864E-002  7.099437289E-001  7.106286029E-001  7.098056002E-001  5.647724233E-002  5.652702695E-002  6.747320367E-003 -7.439282864E+000  2.882550241E+000
1.204349327E-001  7.103416529E-001  7.103496575E-001  7.103336482E-001  5.640559116E-002  7.100976944E-001  7.108069342E-001  7.099723942E-001  5.638771276E-002  5.645002380E-002  6.737996479E-003  4.421567150E+001  2.881805421E+000
1.204583656E-001  7.102756884E-001  7.103437787E-001  7.102075981E-001  5.644722886E-002  7.102615443E-001  7.105294168E-001  7.100722845E-001  5.641738894E-002  5.647551104E-002  6.739611346E-003  3.567514621E+001  2.882404090E+000
1.204527955E-001  7.102486769E-001  7.102549556E-001  7.102423982E-001  5.652812092E-002  7.100067394E-001  7.106259174E-001  7.100714795E-001  5.649406428E-002  5.655949643E-002  6.749135254E-003  3.865665840E+001  2.888055326E+000
1.204597316E-001  7.103569243E-001  7.104117200E-001  7.103021287E-001  5.649339770E-002  7.103116173E-001  7.106097779E-001  7.101508029E-001  5.646837025E-002  5.652083459E-002  6.745597920E-003 -1.489572567E+001  2.880102874E+000
1.204297274E-001  7.103073889E-001  7.103212559E-001  7.102935220E-001  5.639685296E-002  7.102247475E-001  7.106055133E-001  7.101659326E-001  5.636737860E-002  5.643840829E-002  6.735224118E-003 -5.031834735E+001  2.882869960E+000
1.204330635E-001  7.103267777E-001  7.102609952E-001  7.103925602E-001  5.644836670E-002  7.100598808E-001  7.106977045E-001  7.101708756E-001  5.643502468E-002  5.649771558E-002  6.744232810E-003  2.986669913E+000  2.872429134E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1204513   0.0022    0.1204513   0.0022  20  20
"" "87/86 Avg exp corr"    0.7102786   0.0017    0.7102786   0.0017  20  20
"" "87/86 S 1-2 exp corr"    0.7102621   0.0024    0.7102621   0.0024  20  20
"" "87/86 S 2-3 exp corr"    0.7102950   0.0019    0.7103019   0.0018  19  20
"" "84/86 Dyn exp corr"    0.0564564   0.0215    0.0564622   0.0199  19  20
"" "Stat 87/86 S-1 exp"    0.7100581   0.0039    0.7100448   0.0036  19  20
"" "Stat 87/86 S-2 exp"    0.7106468   0.0028    0.7106375   0.0026  19  20
"" "Stat 87/86 S-3 exp"    0.7100915   0.0039    0.7101066   0.0034  19  20
"" "Stat 84/86 exp corr"    0.0564327   0.0228    0.0564393   0.0206  19  20
"" "Dyn 84/86 power law"    0.0564971   0.0206    0.0564971   0.0206  20  20
"" "Dyn 84/88 power law"    0.0067429   0.0221    0.0067437   0.0202  19  20
"" "87Rb ppm L2-S2"    4.0228990 168.6997    4.0228990 168.6997  20  20
"" "88Sr volts S-3"    2.8574043   0.2083    2.8605473   0.1862  19  20

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.371239E-004 1.382828E-004 3.476143E-004 -4.851818E-004 -3.325939E-004 4.115105E-004 -3.616571E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
3 "86/88 Scan 2"    0.1204485   0.0028    0.1204485   0.0028  10  10
3 "87/86 Avg exp corr"    0.7103058   0.0020    0.7103058   0.0020  10  10
3 "87/86 S 1-2 exp corr"    0.7103117   0.0036    0.7103117   0.0036  10  10
3 "87/86 S 2-3 exp corr"    0.7102999   0.0020    0.7102999   0.0020  10  10
3 "84/86 Dyn exp corr"    0.0564720   0.0406    0.0564720   0.0406  10  10
3 "Stat 87/86 S-1 exp"    0.7100873   0.0055    0.7100873   0.0055  10  10
3 "Stat 87/86 S-2 exp"    0.7107105   0.0043    0.7107105   0.0043  10  10
3 "Stat 87/86 S-3 exp"    0.7100247   0.0043    0.7100461   0.0034   9  10
3 "Stat 84/86 exp corr"    0.0564503   0.0414    0.0564503   0.0414  10  10
3 "Dyn 84/86 power law"    0.0565116   0.0392    0.0565116   0.0392  10  10
3 "Dyn 84/88 power law"    0.0067449   0.0402    0.0067449   0.0402  10  10
3 "87Rb ppm L2-S2"   15.7586391  91.2991    4.8147185 216.8797   9  10
3 "88Sr volts S-3"    2.8773601   0.1070    2.8773601   0.1070  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.204487819E-001  7.103248195E-001  7.104226419E-001  7.102269971E-001  5.638696112E-002  7.103244463E-001  7.107342915E-001  7.098320859E-001  5.636903642E-002  5.643285928E-002  6.735941446E-003  2.590026896E+000  2.896743537E+000
1.204323891E-001  7.103334805E-001  7.103032688E-001  7.103636922E-001  5.642757973E-002  7.101764446E-001  7.106899217E-001  7.101633840E-001  5.640744989E-002  5.648082360E-002  6.741404566E-003 -1.483168313E+000  2.890463115E+000
1.204546511E-001  7.102305866E-001  7.102209569E-001  7.102402163E-001  5.654044735E-002  7.100425856E-001  7.105314114E-001  7.101237662E-001  5.651244185E-002  5.657337029E-002  6.751514609E-003  7.583468590E+001  2.883907319E+000
1.204315397E-001  7.102362656E-001  7.101638070E-001  7.103087242E-001  5.640781411E-002  7.098596413E-001  7.106753346E-001  7.100763689E-001  5.638636176E-002  5.645254176E-002  6.737870044E-003 -3.170933713E+001  2.874924899E+000
1.204416020E-001  7.103436041E-001  7.103495043E-001  7.103377038E-001  5.653944324E-002  7.101251386E-001  7.107486453E-001  7.099998991E-001  5.652774941E-002  5.657911881E-002  6.754149562E-003  1.118761053E+001  2.872965099E+000
1.204511158E-001  7.102563595E-001  7.102284748E-001  7.102842442E-001  5.642702400E-002  7.100056554E-001  7.106196873E-001  7.100385413E-001  5.641268361E-002  5.646569897E-002  6.740291042E-003  1.083422420E+001  2.874318839E+000
1.204652118E-001  7.103198184E-001  7.103739361E-001  7.102657006E-001  5.642574592E-002  7.101124545E-001  7.107362789E-001  7.100249977E-001  5.638900078E-002  5.645366265E-002  6.736177780E-003 -2.878129385E+001  2.870598794E+000
1.204548307E-001  7.103367695E-001  7.103697801E-001  7.103037589E-001  5.649401594E-002  7.100996960E-001  7.107791579E-001  7.099492266E-001  5.647469340E-002  5.652806239E-002  6.747142149E-003  1.271085462E+001  2.867514611E+000
1.204528770E-001  7.103479858E-001  7.103537934E-001  7.103421781E-001  5.645783380E-002  7.100011704E-001  7.108957080E-001  7.099597744E-001  5.643049227E-002  5.649989721E-002  6.742820717E-003 -7.851135957E+000  2.869144679E+000
1.204524919E-001  7.103281117E-001  7.103308538E-001  7.103253696E-001  5.661314785E-002  7.101262295E-001  7.106944091E-001  7.100792043E-001  5.659344544E-002  5.665043146E-002  6.761707500E-003  1.142539246E+002  2.873019935E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1204504   0.0017    0.1204504   0.0017  30  30
"" "87/86 Avg exp corr"    0.7102876   0.0014    0.7102876   0.0014  30  30
"" "87/86 S 1-2 exp corr"    0.7102787   0.0021    0.7102787   0.0021  30  30
"" "87/86 S 2-3 exp corr"    0.7102966   0.0014    0.7103012   0.0013  29  30
"" "84/86 Dyn exp corr"    0.0564616   0.0195    0.0564564   0.0177  29  30
"" "Stat 87/86 S-1 exp"    0.7100679   0.0031    0.7100500   0.0028  28  30
"" "Stat 87/86 S-2 exp"    0.7106680   0.0024    0.7106602   0.0022  29  30
"" "Stat 87/86 S-3 exp"    0.7100693   0.0030    0.7100872   0.0027  28  30
"" "Stat 84/86 exp corr"    0.0564386   0.0203    0.0564377   0.0174  28  30
"" "Dyn 84/86 power law"    0.0565019   0.0187    0.0564968   0.0169  29  30
"" "Dyn 84/88 power law"    0.0067436   0.0197    0.0067435   0.0169  28  30
"" "87Rb ppm L2-S2"    7.9348124  82.2431    4.2686361 130.9121  29  30
"" "88Sr volts S-3"    2.8640562   0.1542    2.8681595   0.1251  28  30

"Baselines for this Block"
